delivery_id,delivery_date,dragon_id,route_code,parcel_count,weight_kg,fee_coins,customer_id
DEL-1101,2026-04-20,DR-101,SR-08,10,12.5,105,CUST-014
DEL-1102,2026-04-20,DR-103,NW-12,8,9.5,85,CUST-022
DEL-1103,2026-04-20,DR-108,CF-03,19,25.5,190,cust-007
DEL-1104,2026-04-21,DR-104,MV-21,12,15.0,125,CUST-031
DEL-1105,2026-04-21,DR-105,SR-08,11,13.5,115,CUST-019
DEL-1106,2026-04-21,DR-110,DV-15,6,7.5,60,CUST-040
DEL-1107,2026-04-22,DR-102,SR-08,9,11.0,95,CUST-022
DEL-1108,2026-04-22,DR-107,NW-12,7,8.5,,CUST-014
DEL-1109,2026-04-22,DR-106,BH-04,5,6.0,55,CUST-019
DEL-1110,2026-04-23,DR-109,SR-08,10,12.0,100,CUST-031
DEL-1111,2026-04-23,DR-101,CF-03,17,23.5,175,CUST-040
DEL-1112,2026-04-23,DR-103,MV-21,13,16.5,140,CUST-007
