dragon_id,dragon_name,breed,base_station,rider_name,status
DR-101,Ember Whistle,Frostwing,Mistholt,Pip Hollowoak,Active
DR-102,Saltgrin,Tidehide,Cloudfen,Esme Brightscale,Active
DR-103,Marrowflame,Sunback,Mistholt,Theo Marrowfen,Active
DR-104,Blink,frostwing,Brimhollow,Wren Tallowfield,Active
DR-105,Cinder Step,Sunback,Cloudfen,Pip Hollowoak,Active
DR-106,Quicksilver,Tidehide,Mistholt,Marlow Crest,Resting
DR-107,Brindle,Sunback,Brimhollow,Esme Brightscale,Active
DR-108,Pebblegust,Frostwing,Cloudfen,Wren Tallowfield,Active
DR-109,Shoreglow,Tidehide,Mistholt,,Training
DR-110,Halfmoon,Sunback,Brimhollow,Marlow Crest,Active
DR-111,Iron Whistle,Frostwing,Cloudfen,Pip Hollowoak,Resting
DR-112,Tinder,sunback,Mistholt,Theo Marrowfen,Active
DR-113,Mossback,Tidehide,Brimhollow,,Training
DR-114,Bramblewing,Frostwing,Cloudfen,Wren Tallowfield,Active
DR-115,Ashpoint,Sunback,Mistholt,Marlow Crest,Active
DR-116,Lantern Tail,Tidehide,Brimhollow,Esme Brightscale,Resting
DR-117,Skywink,Frostwing,Cloudfen,Pip Hollowoak,Active
DR-118,Driftwood,Sunback,Mistholt,Theo Marrowfen,Active
